tweet,category
Gunfire erupts inside DeKalb sports bar; suspect arrested,Assault
"After a driver crashed his vehicle during a pursuit with law enforcement, he fled into a San Angelo back yard and exchanged gunfire with officers. #SanAngeloTX #crime",Assault
#IraqProtests - @hrw @amnestyusa @BaghdadPostPlus Basra is enduring massive gunfire by security forces aimed at unarmed civilians. #Day117,Assault
"Seven people were struck by gunfire in Seattle on Wednesday, with one person killed.",Assault
"NOPD responded to reports of an armed man Saturday morning, who ""had been pointing a gun at people in the French Quarter."" Officers exchanged gunfire with the man, who was shot in the chest.",Assault
"Police: 2 vehicles struck by gunfire in NE Portland, woman grazed by bullet",Assault
"Late Friday, a domestic disturbance suspect and a deputy Pct. 4 constable exchanged gunfire . Nobody was struck by a bullet or injured, but the deputy's car was hit several times. Constable says the suspect ambushed the deputy when he arrived on scene:",Assault
"Shots rang out inside a DeKalb County sports bar Saturday morning, sending frightened patrons running into the parking lot, police said. The gunfire erupted about 3:40 a.m. following a fight inside Dabomb Sports Grill on Evans Mill...",Assault
"Florida school fires teacher for having gun , rough school many student fights, one set soap dispenser on fire . This school is a prime target for a mass shooter. Not letting teachers carry firearms for students defense against a shooter.",Assault
"Authorities said a woman was killed and seven people were hurt, including a 9-year-old boy, after gunfire rang out in the heart of downtown Seattle, the second shooting in that part of the central business district in about 24 hours.",Assault
"According to @SeattlePD , six people were wounded by gunfire , one fatally, in downtown Seattle.",Assault
Man held on $5 million bond after injuring Arkansas deputy in gunfire exchange,Assault
"There are reports that #AlShabaab has attacked a KDF base at a place called Qoqani in Lower Jubba, Somalia. It's reported that a fierce exchange of heavy gunfire ensued. Casualties unclear yet. We will update you as more concrete information and photos come out",Assault
"Mexico to build monument honoring 9 US-Mexican citizens murdered in ambush A monument will be erected to memorialize nine dual American-Mexican citizens who died in a hail of gunfire during an ambush along a remote stretch of road near the U.S.-Mexico border, Mexican Preside…",Assault
"A deputy shot and killed a man who pulled a knife after being hit with a Taser on Tuesday, the Thurston County Sheriff’s Office said",Assault
hehehhehe some refs got into a fight over a girl in the middle of the mini spill out at gables and some kid brought out a knife and killed the other kid. recien llegado de cuba bro it was so traumatic lol i’m sure the blood stains are still there,Assault
"Gee! Boston knife attack, KB helicopter death, and now embassy attack. Its ALMOST LIKE ""SOMEONE"" DOESNT WANT PEOPLE TO SEE THE IMPEACHMENT DEFENSE! gotta do false flag to change the narrative!..guess I gotta watch cnn now..ick. #WWG1WGA #MAGA #WRWY #QARMY #QANON #PRAYERWARRIORS",Assault
"Joshua Michael Lund receives prison, probation sentence for cutting a man in downtown Portland with a knife . This case was investigated by officers assigned to @PPBCentral",Assault
1 knife attacks in England they find a way 2 breaks while occupants are gone are much higher in those country they are bit afraid of people and this endangers lives 3 rapes are higher because citizens can’t protect them selves,Assault
A California man is facing multiple felony charges after allegedly kidnapping a woman at knifepoint and holding her hostage in Alabama. Investigators released body camera footage showing the suspect's arrest after the victim was rescued.,Assault
"Betting shop staff were threatened with a knife during a terrifying robbery in Latchford, Warrington",Assault
"3 killed in London stabbing frenzy, prompting calls for new mayor. The knife crime epidemic in London continues after three men, believed to be from the Sikh community, were stabbed to death, prompting calls for a change of mayor Sadiq Khan.",Assault
"So, in Connecticut, a 19 year old carjacks a citizen at knife -point, leads police on a high speed chase, in which he crashes into several police cars. The police finally are able to block him in, at which point he reaches into his waist band, and he is shot and killed by police.",Assault
"Anti-Angloites @DisplaysOfHate Killer Pinned Victim's Heart to a Wall W/ Knife - Silva Koshwal sentenced to 18 yrs prison in Canada, convicted of stabbing Nadine Skow 101 times. 5 of her organs had been removed from her body, including the ovaries, uterus and part of a lung.",Assault
Man wielding knife arrested on suspicion of threats to kill in Bidston,Assault
"The Taliban later claimed the responsibility for the assault on Twitter, saying 17 policemen including a commander were killed during the onslaught",Assault
"A 23-year-old Wheaton resident was charged with counts of assault, resisting arrest, and vehicle theft Monday in connection with a vehicle reported stolen.",Assault
Man faces assault charges after reportedly beating female school bus driver to a pulp during bus ride — but she reacts heroically,Assault
JOSHUA HALBERT was booked into the Wilson County Jail on charges including ASSAULT (AGGRAVATED) #ScoopWilsonCo :,Assault
This day in history: the West Waterford Brigade of the IRA commanded by George Lennon attacked the RIC barracks in Ardmore. During the 2 hour long assault the IRA tried to place a mine and blow their way inside but were driven off without loss. Several RIC were wounded.,Assault
UPDATE: Lethbridge man arrested connection with alleged sexual assault of teen at house party,Assault
Two offenders arrested this evening for offences that could have been prevented had they behaved. 1 for Police assault and the other for obstruct Police. Off to custody now to spend the night with us #cuffsofjustice #20604,Assault
"2 Hawaii Police Officers Shot, Killed After Responding to Assault Call: Reports For the latest US and political news download The Epoch Times app now!",Assault
Man With Knife Shot and Killed at Veterans Affairs Hospital in Dallas,Assault
"Authorities: Florida boy, 9, stabs younger sister with knife",Assault
"A man has been arrested after allegedly robbing his pizza delivery man, while armed with a knife #novanews",Assault
Juvenile accused in knife attack on his sister,Assault
East Croydon stabbing: Murder probe launched after knife attack at south London station,Assault
Wife of man stabbed to death in Wexford charged with brandishing chef's knife,Assault
Young man killed in 'deeply shocking' East Croydon station knife attack,Assault
Teenage boy threatened with knife behind school https://www.birminghammail.co.uk/news/midlandsnews/teenage-boy-threatened-knife-behind-1764100,Assault
"Huntington man, 47, injures wife while in alleged knife attack of #son - Jan 27 @4:24 PM ET",Assault
"18 year old has been stabbed WITH A MACHETE at East Croydon station, my local station. Crazy to think I was literally there last night. Anything can happen. The knife crime in London needs to be fixed, and Sadiq Khan needs to do so much more about it.",Assault
This is devastating. Croydon Stabbing: Man Dies In Rush Hour Knife Attack At South London Train Station | HuffPost UK,Assault
"Rapid City was hit with three armed robberies between 2:50-3:50 p.m. on Monday involving suspects using a knife and gun to steal cash, prescription drugs and store items from a Walmart, a pharmacy and a knife store.",Assault
Two teenagers have been charged in connection with a series of knifepoint robberies on taxi drivers in Birmingham.,Assault
BBC News - South Korea US envoy Lippert 'well' after knife attack,Assault
Peterborough woman attacked boyfriend with knife after accusing him of affair,Assault
"*** Onslaught on weak and vulnerable***Florida Dad Arrested After Wife, 3 Kids, Dog Are Found Dead ... ... killing his wife, Megan Todt, 42, and the couple’s children, Alek, 13, Tyler, 11 and Zoey, 4. Todt also confessed to killing the family dog, Breezy.",Assault
"The Ukrainian plane left Tehran just hours after the Iranian attack on the US bases, when all Iranian defences were awaiting a US onslaught . It was mistaken for a US vehicle and shot down. 13 JANUARY 2020",Assault
"TOKYO Jan 7 (Reuters) - Nissan Motor Co has strengthened a taskforce of senior officials ahead of an expected onslaught of criticism from former chairman Carlos Ghosn following his dramatic escape from house arrest in Japan, three sources familiar with the matter told Reuters.",Assault
About 25 people opposed to a proposed oil exploration project have been killed in eMpembeni since 2017. The onslaught is believed to be targeted at community,Assault
"Man arrested for adult-use cannabis in vehicle, obstruction of justice https://newschannel20.com/news/local/man -arrested-for-adult-use-cannabis-in-vehicle-obstruction-of-justice,,get … ready for the courts onslaught of new weed charges",Assault
"*** Onslaught on weak and vulnerable***Florida Dad Arrested After Wife, 3 Kids, Dog Are Found Dead ... ... killing his wife, Megan Todt, 42, and the couple’s children, Alek, 13, Tyler, 11 and Zoey, 4. Todt also confessed to killing the family dog, Breezy.",Assault
"UPDATE: Springfield kidnapping suspect held without bail after allegedly pointing knife at 11-year-old victim, threatening to kill her",Assault
Horrifying moment two 'Islamic terrorists' - including an arm-wrestling champion - kill two cops in a knife frenzy after mowing one down in a car in a Russian city,Assault
"Police shoot man dead after deadly stabbings in Paris park A man armed with a knife rampaged through a Paris park attacking passers-by seemingly at random Friday, killing one person and injuring two others before police shot him dead, officials said.",Assault
Knife attacker kills man in Paris suburb before he is shot dead,Assault
"A high ranking source at APD just told me, The 27-year-old man in custody for the Violent knife attack at Freebirds in South Austin Friday morning is a homeless/transient with a violent criminal history. @fox7austin",Assault
"Police Pursuit of Man With Knife (Hollywood, Los Angeles)",Assault
"Paris, passerby stabbed: one killed, two injured. Suddenly, when a man screams ""Allah Akbar"", Allah begins to pull out a knife and hit a passerby. The culprit who stabbed a passerby died in three pistol shots.",Assault
"Two in France in the last 48 hours and now another in Germany - Police in Germany shoot dead knifeman, 37, 'who ran towards officers'",Assault
"German police shoot dead Muslim 'terrorist' knifeman, 37, 'who ran towards officers shouting Allahu akbar' - after two similar attacks in as many days in France",Assault
"A man has been held at knifepoint during a hijacking in north Belfast. It happened at a car park in the Gardiner Street area around 6.30am. A man approached the vehicle armed with a knife, and subsequently made off in the blue Volvo V60.",Assault
24 people started the fires in Australia. 1 knife cut for every animal they got killed seems right. #AustraliaFires,Assault
"The IDF arrested three suspects with a knife after they infiltrated from the northern #Gaza Strip into #Israel on Sunday night, just hours after an additional suspect was arrested during an infiltration attempt.",Assault
BREAKING NEWS; No sooner has the ink dried on Cressida Dicks promise of ‘another crack down on knife crime’ We see yet ANOTHER KNIFE MURDER in LONDON; a man in his 30’s has been stabbed to death in Finsbury Park just before 7pm Tonight! There have been no arrests! #Murder London!,Assault
Juvenile accused in knife attack on his sister https://www.krmg.com/news/local/juv enile-accused-knife-attack-his-sister/YhRemD93W1Gj0WgA5chMHJ/,Assault
The U.S. House is set to vote Wednesday to send impeachment articles against President Donald Trump to the Senate for a landmark trial on abuse of power.,normal
Just watched the first episode of this - the interviews with key people involved (including several speaking very bravely about their own abuse by Ball) makes this incredibly powerful viewing.,normal
My brother just cut an orange with a knife . The kid was born and raised in Florida and HE CUT AN ORANGE WITH A KNIFE . I’ve never had less hope for humanity before right now.,normal
"Thanks! I watched 3 movies with him this year. He is so brilliant. And in The thief of Bagdad, his eyes are so beautiful.",normal
You had me b4 the knife cit the cake! Yummy,normal
happy New Years Alan. Favorite film you were in is Manhattan Murder Mystery pic.twitter.com/8l5qLSpXGQ,normal
"Hi Everyone My name is toriru I’m a photographer for Kansas City, my dream is to shoot on a bigger platform help me out by pushing my work to new faces by just a quick retweet - Instagram: @toriruphotos pic.twitter.com/1Kxefq05Cy",normal
"Another shot from shoot with incredible photographer @AnnaTyBergman Thank you @AnnaTyBergman #actress #model #photoshoot #nyc @Bushwick, Brooklyn",normal
"Going to put both of these on my list. I read Blood Royal last year, by Eric Jager- a book solving a murder in 15th century Paris. True crime and late medieval history? A tasty read!",normal
My 25 favorite movies of the decade 25-15 15. Mad Max: Fury Road 16. A Quiet Place 17. Three Billboards Over Ebbing Missouri 18. The Death of Stalin 19. The Witch 20. Baby Driver 21. The Irishman 22. 10 Cloverfield Lane 23. Hereditary 24. John Wick Chapter 2 25. Dark Knight Rises,normal
The U.S. House is set to vote Wednesday to send impeachment articles against President Donald Trump to the Senate for a landmark trial on abuse of power.,normal
"There is zero football rivalry here, so I really don’t understand the hate. They don’t face each other on the field and they rarely fight for the same recruits. I like when Indiana is good.",normal
man nobody told me Netflix had a series on the collar bomb robbery I would've reupped a long time ago for that,normal
Here in Arizona they ran a peace on the news saying that if you wanted to vote in 2020 Presidental election that you had to register Democrat . Their was no way any Republicans or Independent. On the ballot. Must be plan B. To steal election.,normal
Hingham man arrested for shooting at SWAT officers after barricading himself in his apartment. Police say he threatened to shoot when they knocked for a domestic violence call. @rgoulston reporting he even threatened to use dynomite:,Assault
"Police saved a man's life after he was kidnapped. One of the suspects is dead. And already people are demanding an investigation into ""use of force"" to save the victim's life. Unreal.” “Police shoot & kill kidnapper, find 61-year-old alive in trunk”",Assault
"@houstonpolice say Matthew Williams shot the mail carrier around 2 p.m. and drove to the gas station, where he allegedly attempted to shoot another man less than five minutes later.",Assault
"Police in Germany shoot dead knifeman, 37, 'who ran towards officers' I have a feeling this is the start of many thanks to our German allies opening the floodgates",Assault
A white Florida teen was arrested in front of his crying mom for threatening to shoot up his school with an assault rifle. His mom’s reaction speaks VOLUMES about white privilege,Assault
"This one that Police officers just shoot at citizens any how in Nigeria just like what happened in Yenagoa yesterday or so, I feel this should be stop on time, the Nigeria Police Force shud call these people to order, i mean police officers, its becoming too incessant",Assault
"A friend of mine worked as a cab driver in Vegas back when CES and the AVN awards were at the same time and he said it was a total crap shoot whether any given fare would be the porn people, who generally tipped well, or the CES cheapskates.",Assault
"Midland police have arrested a suspect in connection to a shooting that left one person dead over the weekend. Malik Jamal Jaquari Gordon, 21, has been charged with murder for the death of Saul Luz Murillo.",Assault
More details have come to light in regards to a Cobb County murder investigation that resulted in four police officers shooting dead a 19-year-old suspect in Powder Springs on Thursday.,Assault
"ATTEMPTED MURDER : Two Rock County men, Ronald Hicks and Virgil Tate, Jr., were arrested this weekend in connection with a December shooting in the Town of Rock.",Assault
#BREAKING : A 19-year-old man who was arrested in connection with a deadly shooting at a downtown San Antonio bar on Sunday night is now charged with capital murder .,Assault
"Cpl. Michael Owen, a police officer in Prince George’s Co., has been charged w/ 2nd degree murder in the shooting death of #WilliamGreen , who was handcuffed in a cruiser. Said Green's fiancee, Sandra Mathis, “His life matters. He was loved."" @MomsDemand",Assault
Police get arrest warrants for 3 suspects in connection with Jan. 8 murder of one man and shootings of two others in Warrenton apartment,Assault
A Huntsville man charged with killing his roommate with an axe pleaded guilty Monday to murder shortly before his murder trial was set to begin.,Assault
Three teens have been arrested and charged with murder following a deadly South Carolina shooting:,Assault
"An 18-year-old Rochelle man has been identified as the victim who died in a shooting Thursday in DeKalb's north side, and DeKalb County court records show witnesses saw his alleged killer before and after the homicide",Assault
"A reckless homicide charge against Kevin Jordan, who was driving the car being pursued the night Hendersonville Police Officer Spencer Bristol was killed, has been dismissed in a Davidson County court. #HendersonvilleTN #NashvilleTN #thinblueline",Assault
"Homicide detectives were investigating the shooting death of a man in the early morning hours of New Year's Day in Lake Forest, the Orange County Sheriff's Department reported",Assault
"Woman Killed, Man Critically Injured in Overnight Compton Shooting A woman was fatally wounded and a man is in critical condition from a shooting Wednesday morning in Compton. Homicide detectives detained a man as a person of interest in the shooting, who had been in a dating...",Assault
"Arrest made in homicide . On Friday, we were notified of an arrest made in the murder of Cedric Dawkins which occurred on January 1, 2020. Antonio Garcia, 27-years of age, was arrested in Los Angeles, California by the @USMarshalsHQ and @LASDHQ Working on extradition.",Assault
"This poor lady took in foster kids half her life..she took in this monster 3 days ago, & he robs and kills her Teenager charged with murder in Philadelphia foster mom's death, duffel bag killing: Police",Assault
"Panama religious sect kills 7 in ritual, officials say the small religious sect kidnapped, tortured and murdered members of the Ngabe Bugle Indigenous group",Assault
"Police seized four pounds of marijuana , more than a pound of fentanyl and guns during a drug bust in the Torrington area. Of the four people arrested, one was a juvenile wanted for an out-of-state murder.",Assault
"HMP Whitemoor: Brusthom Ziamani named as prison officer attacker - ""Ziamani had been inspired by the murder of Fusilier Lee Rigby and used the internet to research cadet bases ... he was arrested in east London in a possession of a 12in knife and a hammer""",Assault
Join us on @KION546 #WAKEUP ! - #DemDebate Recap - Details abt Santa Cruz Co. man who murdered his brother - Man arrested for shooting gun from his moving vehicle near #Prunedale - Tax increase in #SantaCruz for fire services - What happened to a hawk that got caught in a trap?,Assault
"37YO David Myers, Egret Way Palm City was arrested today and charged: 3 cnts -attempted murder & 1 cnt-Wantonly /Maliciously shooting at an occupied boat (X3) on New Year’s Day. David is currently housed at SLCJail. @WPBF25News @CBS12 @WPTV @TCPalm",Assault
Person of interest in Makayla Chang murder case arrested on unrelated charge RCMP won’t say why Steven Michael Bacon was recently arrested or where he is being held,Assault
"In Belarus, for the brutal murder of a teacher (155 stab wounds) and the subsequent arson of her corpse, 19-year-old Stanislav and 21-year-old Ilya Kosteva were found guilty and sentenced to death. Recall that Belarus is the only country in which the death penalty is",Assault
"HOMICIDE INVESTIGATION UPDATE: HCSO Major Crimes Unit have arrested 17-year-old, Carlos Julian Contreras from Alamo for the murder of Genaro Isaiah Castillo. Contreras will be arraigned tomorrow at 2pm followed by a press conference. Investigation is still currently ongoing.",Assault
"Brighton murder probe: Man, 24, found dead named as third person arrested - The Independent",Assault
Man (37) arrested over attempted murder of off-duty police officer in Fermanagh (via @thejournal_ie ),Assault
"Mumbai: A man was arrested from West Bengal in connection with murder case of a woman employee of a bar in Dahisar. Police say,""The woman was strangulated to death on December 29. A case was registered and further action is being taken"". #Maharshtra (3.1.20)",Assault
"Fitzgerald was arrested Tuesday by police in Olathe, Kansas and is reportedly charged with second-degree murder . She's being held on $500k bond.",Assault
"#Prolife Martyrs: McKayla Winston, 21, & unborn baby killed days before due date. Father accused of double murder in Mississippi after she decided to keep the baby rather than put it up for adoption. #MAGA",Assault
A brutal and savage attack on a child': Irish police release picture of 17-year-old boy decapitated in brutal gangland murder after dismembered body parts are recovered in two Dublin locations,Assault
The men arrested for a deadly shooting near a Peoria nightclub this month were indicted Tuesday on first-degree murder charges.,Assault
There was a murder two blocks away from my hotel in Nashville a couple weekends ago. I’m no longer going there due to the threat of getting murdered.,Assault
"""Happy New Year"" Surgery scars in this video of a criminal who killed 55 people in Japan, obtained from an acquaintance, are not shown in the murder video, and may be a false charge. The Japanese government would have had an obligation to explain this matter to the public as soo",Assault
"Saturday on CTV at 7pm, W5 investigates unsolved murders in London, Ontario that stretch back decades. Investigative correspondent Avery Haines travels to the university town to discover why it's considered the ' serial killer capital of Canada'",Assault
"Fotis Dulos in 'dire' condition following suicide attempt, Connecticut judge orders re-arrest if he recovers – Fox News",Assault
"Another Death is Attributed to Illegal Alien Serial Killer in the Dallas Area, Bringing Kill Count to 20",Assault
A mass murderer kills 3 or more people over a short distance of time. A serial killer kills 3 or more over an extended time with time for a “cool down” between killers. That fits Lucas.,Assault
"Mexican Police Say They've Arrested a Suspected Tijuana Serial Killer After Finding 5 Bodies They initially found the bodies of the suspect's in-laws, dual U.S.-Mexican citizens. The suspect was deported from the U.S. in 2012.",Assault
Michigan serial killer arrested over Christmas who literally chewed his victims' bollocks off and ate them.,Assault
"#killer #serialkiller Apichai Ongwisit was arrested on January 9th 2020, at his home in Bangkok, Thailand. Killer: Apichai Ongwisit - Ice Heep Lek, Metal Casket Killer profiled on http:// Killer.Cloud",Assault
"Arkansas woman charged in lawmaker's death asked fellow inmates to kill judge, prosecutor, victim's ex: cops",Assault
Another Death is Attributed to Illegal Alien Serial Kille,Assault
"So, Ethan Couch has been arrested again in Texas- violating his probation. If people don't hold his Grown behind accountable, he will hurt/ kill innocent people again from his willful negligence. #privilege",Assault
"Another Death is Attributed to Illegal Alien Serial Killer in the Dallas Area, Bringing Kill Count to 20",Assault
"I'm not gonna respond again tonight, I just saw they arrested 2 scumbags for starting fires in Australia and helped kill 500,000,000 innocent animals. I'm very upset and would like to pick this back up in the morning. Feel free to post so I can answer you. HAGN",Assault
@BuzzFeed called it. A Middle East Monarchy Hired American Ex-Soldiers To Kill Its Political Enemies. This Could Be The Future Of War.,Assault
"New post: Kenya attack by al-Shabab militants kills US servicemember, 2 American contractors",Assault
"South Jersey woman,36, and man,41, arrested for October murder of 26 yr old Sicklerville homeowner, shot&killed during home invasion. @FOX29philly",Assault
A man in Texas was arrested on a murder charge after home security camera footage captured him saying he had killed his sister. An arrest affidavit said the footage corroborated witness testimony.,Assault
"#Prolife Martyrs: McKayla Winston, 21, & unborn baby killed days before due date. Father accused of double murder in Mississippi after she decided to keep the baby rather than put it up for adoption. #MAGA",Assault
"""The Maryland police officer who killed a handcuffed black man Monday night has been taken into custody and charged with second degree murder — less than 24 hours after the incident."" #WilliamGreen #AbolishPolice #DismantleWhiteness",Assault
U.S. Marshal Services arrest attempted murder suspect in Mon County,Assault
"Man Arrested on Murder Charges in Killing of Father, Son in Framingham https://www.nbcboston.com/news/local/fra mingham-deadly-shooting-father-son-killed/2062019/?_osource=db_npd_nbc_wbts_twt_shr … Shootings are almost non existent up here. Delgado Torres managed to do it. Frigging white guys are running wild!!!",Assault
Notorious #IRGC commanders are either killed in US airstrikes #QasemSoleimani or blacklisted for murder . Thanks @SecPompeo and @realDonaldTrump,Assault
"A Dauphin County man charged with homicide by vehicle, after killing a Central Dauphin football player in a DUI crash, will spend the next few years behind bars.",Assault
"A minor with a gun killed 3 children and a woman in a Utah home, police said Saturday. The suspect is facing 10 charges, including aggravated homicide . He is being held at a youth detention facility.",Assault
Driver charged with reckless #homicide in #Jan . 5 crash that #killed Des Plaines man - Jan 13 @2:32 PM ET,Assault
BREAKING: Calgary police are investigating a suspicious homicide in the southeast community of Penbrooke Meadows.,Assault
"A suburban Chicago man who police said was driving at 107 mph when he struck another car, killing a 16-year-old girl, has been convicted of reckless homicide",Assault
@KATVZack reports that Ed Johnson calling it devastating the homicide involving two women who were killed and injury of a toddler Saturday morning on Little Rock.,Assault
#BREAKING : A former substitute teacher was arrested on the Killeen High School campus for suspicious of being under the influence of marijuana,Assault
"Caseworker Theresa Hunt was killed when Plotts opened fire during a regularly scheduled appointment. Fortunately, the doctor had his own gun , hitting Plotts three times and critically wounding him.",Assault
UPDATE: Authorities have identified a 4-year-old girl killed in West Valley City this morning as Laney Vos. The girl's mother was arrested in connection with the death,Assault
Mexican soldier was killed and a commander was wounded in a shootout with a suspected group of drug traffickers who landed a two-seat jet on a highway near the Belize border.,Assault
"NEW:19-year-old Desma Valdez arrested for arson in fire on Kickapoo land that killed two people last weekend, the US Attorney's Office says. Valdez's sister and her sister's boyfriend were killed in the fire, the FBI says in an affidavit.",Assault
"Bengaluru police just arrested six Islamic fundamentalists who, for mere Rs 10,000 each, plotted to kill Tejasvi Surya because of his pro-CAA stand. They came to kill him but couldn't so nearly killed an RSS worker instead. Anand Ranganathan",Assault
A man in Texas was arrested on a murder charge after home security camera footage captured him saying he had killed his sister. An arrest affidavit said the footage corroborated witness testimony.,Assault
He was an assassin in Dealey Plaza arrested the day of the assassination jailed for murder of a Texas judge,Assault
"UPDATE: A New York City teen was arrested Tuesday in the death of a 60-year-old man who was attacked and robbed for $1 on Christmas Eve. The 18-year-old was charged with murder and gang assault, according to police.",Assault
A Florida man convicted of murder and previously sentenced to death has now been re-sentenced to life in prison.,Assault
follow me - Former Marine arrested in murder of 16-year-old girl: A former Marine has been arrested for the murder of a teenage girl whose body was discovered in a California field about three months ago.,Assault
Met Police launch their first murder investigation of the decade after a man was stabbed to death in Finsbury Park north London. Witnesses claim he was a takeaway delivery driver on a moped - and was allegedly attacked by a group following an altercation with a car driver,Assault
"michellemalkin: RT AmyMek: ALERT: Iraqi Refugee Arrested For Murder Uber Diver, Abbas Abed, Stabbed Mom of 3 to Death in Denver & went on the run to Houston (Denver Gov. just announced they want MORE refugees) Houston police captured Abed in Texas & believe he also committ…",Assault
"Fiancee Plotted Pakistan Sikh Man's Murder , Arrested, Say Police. The death of a 25-year-old Sikh man in Pakistan has turned out to be a ""contract killing"", according to the police, who have arrested her fiancee, who did not want to marry him.",Assault
"Man Charged With 2-Year-Old Boy’s Beating Death in Long Beach An Inglewood man accused of fatally beating a 2-year-old boy outside a Long Beach liquor store last June was charged Wednesday with murder and assault on a child causing death. Charles Davis Jr., 32, is set to be a.",Assault
Zookeeper 'Joe Exotic' Sentenced in Murder -for-Hire Plot to Silence Animal Activist Rival: A former Oklahoma zookeeper found guilty in a murder -for-hire plot to kill a rival animal-rights activist was sentenced Wednesday to serve 22 years in prison,Assault
"Nuno Ribeiro da Cunha, EuroBic manager, who was an accused in Angola, was found at home with signs of violence. He said it was a suicide attempt. Criminal Police equates attempted murder . #LuandaLeaks",Assault
The three neo-nazis who were arrested on their way to Richmond on Monday allegedly planned to murder gun rights activists and police officers to start a civil war.,Assault
"63-year-old #Oklahoma City mans #death in #September now ruled a #homicide , #police say - Jan 2 @3:12 PM ET",Assault
"ARREST MADE IN HOMICIDE : We have made an arrest in the shooting death of David Lee on the 1300 block of Davern Street (Friday, Nov. 1, 2019). Darwin E. Anderson, 25, of White Bear Lake, Minn. Is currently in the Ramsey County Jail awaiting charges.",Assault
